method_glfc, task_size_6, learning_rate_0.1, started_at_20260407_072925
Task: 0, Round: 0 | TrainLoss: 0.2494 | EvalLoss: 2.8239 | Acc: 24.00% | Prec: 7.00% | Rec: 30.81% | F1: 11.34%
Task: 0, Round: 1 | TrainLoss: 0.0641 | EvalLoss: 2.4401 | Acc: 24.15% | Prec: 6.99% | Rec: 31.41% | F1: 11.11%
Task: 0, Round: 2 | TrainLoss: 0.0386 | EvalLoss: 2.1583 | Acc: 24.29% | Prec: 7.06% | Rec: 31.98% | F1: 11.23%
Task: 0, Round: 3 | TrainLoss: 0.0284 | EvalLoss: 1.8764 | Acc: 24.41% | Prec: 7.12% | Rec: 32.46% | F1: 11.33%
Task: 0, Round: 4 | TrainLoss: 0.0227 | EvalLoss: 1.6446 | Acc: 24.49% | Prec: 8.05% | Rec: 32.82% | F1: 12.75%
Task: 1, Round: 5 | TrainLoss: 0.0844 | EvalLoss: 2.2584 | Acc: 28.91% | Prec: 6.73% | Rec: 23.71% | F1: 10.28%
Task: 1, Round: 6 | TrainLoss: 0.0812 | EvalLoss: 2.1663 | Acc: 29.26% | Prec: 6.82% | Rec: 23.97% | F1: 10.42%
Task: 1, Round: 7 | TrainLoss: 0.0792 | EvalLoss: 2.1156 | Acc: 29.05% | Prec: 6.77% | Rec: 23.87% | F1: 10.33%
Task: 1, Round: 8 | TrainLoss: 0.0778 | EvalLoss: 2.0789 | Acc: 28.97% | Prec: 6.75% | Rec: 23.84% | F1: 10.30%
Task: 1, Round: 9 | TrainLoss: 0.0770 | EvalLoss: 2.0573 | Acc: 29.33% | Prec: 6.84% | Rec: 24.08% | F1: 10.44%
Task: 2, Round: 10 | TrainLoss: 0.1007 | EvalLoss: 2.4072 | Acc: 23.49% | Prec: 5.34% | Rec: 15.95% | F1: 5.95%
Task: 2, Round: 11 | TrainLoss: 0.0944 | EvalLoss: 2.3091 | Acc: 23.51% | Prec: 5.22% | Rec: 15.96% | F1: 5.96%
Task: 2, Round: 12 | TrainLoss: 0.0915 | EvalLoss: 2.2696 | Acc: 23.86% | Prec: 5.60% | Rec: 16.31% | F1: 6.65%
Task: 2, Round: 13 | TrainLoss: 0.0903 | EvalLoss: 2.2453 | Acc: 29.21% | Prec: 6.59% | Rec: 21.08% | F1: 9.55%
Task: 2, Round: 14 | TrainLoss: 0.0896 | EvalLoss: 2.2264 | Acc: 33.86% | Prec: 11.78% | Rec: 26.41% | F1: 14.40%
Task: 3, Round: 15 | TrainLoss: 0.0990 | EvalLoss: 2.2538 | Acc: 23.71% | Prec: 4.61% | Rec: 12.21% | F1: 5.45%
Task: 3, Round: 16 | TrainLoss: 0.0967 | EvalLoss: 2.2507 | Acc: 23.89% | Prec: 5.57% | Rec: 12.25% | F1: 5.30%
Task: 3, Round: 17 | TrainLoss: 0.0952 | EvalLoss: 2.2464 | Acc: 23.89% | Prec: 8.15% | Rec: 12.24% | F1: 5.22%
Task: 3, Round: 18 | TrainLoss: 0.0941 | EvalLoss: 2.2491 | Acc: 23.92% | Prec: 4.11% | Rec: 12.25% | F1: 5.24%
Task: 3, Round: 19 | TrainLoss: 0.0933 | EvalLoss: 2.2487 | Acc: 23.95% | Prec: 4.27% | Rec: 12.28% | F1: 5.25%
Task: 4, Round: 20 | TrainLoss: 0.0769 | EvalLoss: 2.2343 | Acc: 23.94% | Prec: 3.70% | Rec: 9.82% | F1: 4.27%
Task: 4, Round: 21 | TrainLoss: 0.0760 | EvalLoss: 2.2425 | Acc: 24.04% | Prec: 4.40% | Rec: 9.85% | F1: 4.28%
Task: 4, Round: 22 | TrainLoss: 0.0757 | EvalLoss: 2.2443 | Acc: 24.19% | Prec: 3.96% | Rec: 9.90% | F1: 4.36%
Task: 4, Round: 23 | TrainLoss: 0.0755 | EvalLoss: 2.2478 | Acc: 24.47% | Prec: 7.29% | Rec: 10.00% | F1: 4.53%
Task: 4, Round: 24 | TrainLoss: 0.0753 | EvalLoss: 2.2497 | Acc: 24.25% | Prec: 3.88% | Rec: 9.91% | F1: 4.39%
Task: 5, Round: 25 | TrainLoss: 0.0884 | EvalLoss: 2.3969 | Acc: 23.26% | Prec: 3.34% | Rec: 8.89% | F1: 3.93%
Task: 5, Round: 26 | TrainLoss: 0.0868 | EvalLoss: 2.3867 | Acc: 23.22% | Prec: 3.34% | Rec: 8.89% | F1: 3.89%
Task: 5, Round: 27 | TrainLoss: 0.0859 | EvalLoss: 2.3877 | Acc: 22.80% | Prec: 5.00% | Rec: 8.76% | F1: 3.64%
Task: 5, Round: 28 | TrainLoss: 0.0852 | EvalLoss: 2.3879 | Acc: 22.70% | Prec: 5.99% | Rec: 8.73% | F1: 3.56%
Task: 5, Round: 29 | TrainLoss: 0.0848 | EvalLoss: 2.3853 | Acc: 22.78% | Prec: 6.18% | Rec: 8.74% | F1: 3.59%
